feature,importance
Hardness,0.3330048443211494
Pain,0.20985394096475055
Temperature,0.15035428240745474
Milk_visibility,0.13243890487154153
EUFR,0.032606098154366034
IURL,0.031476191682406354
EURL,0.02833006696485953
IUFL,0.026179427823440293
EUFL,0.025551739562581548
EURR,0.011149521828411016
IURR,0.009651051089621448
IUFR,0.005328139660947785
Day,0.0019012137728512035
Breed,0.0010628977872942696
Months_after_giving_birth,0.0009708889453164937
Previous_Mastits_status,8.972945755003925e-05
Cow_ID,5.106070545787028e-05
